year,size_class,ai_value,ai_type
2023,Small,5.4,Overall AI Usage
2023,Medium,17.8,Overall AI Usage
2023,Large,36.5,Overall AI Usage
2024,Small,12.0,Overall AI Usage
2024,Medium,25.1,Overall AI Usage
2024,Large,51.2,Overall AI Usage
2025,Small,17.2,Overall AI Usage
2025,Medium,28.6,Overall AI Usage
2025,Large,57.7,Overall AI Usage
2023,Small,1.5,Data Mining
2023,Medium,7.2,Data Mining
2023,Large,14.0,Data Mining
2024,Small,5.1,Data Mining
2024,Medium,9.8,Data Mining
2024,Large,28.1,Data Mining
2025,Small,9.0,Data Mining
2025,Medium,15.8,Data Mining
2025,Large,34.6,Data Mining
2023,Small,0.7,Speech Recognition
2023,Medium,3.9,Speech Recognition
2023,Large,10.7,Speech Recognition
2024,Small,3.2,Speech Recognition
2024,Medium,8.3,Speech Recognition
2024,Large,20.4,Speech Recognition
2025,Small,4.4,Speech Recognition
2025,Medium,10.9,Speech Recognition
2025,Large,23.8,Speech Recognition
2023,Small,1.7,NLG
2023,Medium,3.6,NLG
2023,Large,10.9,NLG
2024,Small,6.3,NLG
2024,Medium,10.2,NLG
2024,Large,23.6,NLG
2025,Small,7.9,NLG
2025,Medium,12.5,NLG
2025,Large,30.0,NLG
2023,Small,0.8,Image Recognition
2023,Medium,3.5,Image Recognition
2023,Large,8.9,Image Recognition
2024,Small,2.4,Image Recognition
2024,Medium,4.7,Image Recognition
2024,Large,16.8,Image Recognition
2025,Small,2.0,Image Recognition
2025,Medium,4.6,Image Recognition
2025,Large,13.8,Image Recognition
2023,Small,1.5,Machine Learning
2023,Medium,8.2,Machine Learning
2023,Large,20.0,Machine Learning
2024,Small,4.1,Machine Learning
2024,Medium,9.7,Machine Learning
2024,Large,27.6,Machine Learning
2025,Small,4.2,Machine Learning
2025,Medium,11.6,Machine Learning
2025,Large,27.4,Machine Learning
2023,Small,2.3,Decision Making
2023,Medium,12.2,Decision Making
2023,Large,21.9,Decision Making
2024,Small,4.3,Decision Making
2024,Medium,12.4,Decision Making
2024,Large,30.4,Decision Making
2025,Small,4.3,Decision Making
2025,Medium,11.6,Decision Making
2025,Large,28.6,Decision Making
2023,Small,,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2023,Medium,1.9,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2023,Large,7.8,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2024,Small,0.6,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2024,Medium,1.5,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2024,Large,9.4,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2025,Small,0.3,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2025,Medium,2.1,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
2025,Large,7.9,Enterprises using Artificial Intelligence for  enabling physical movement of machines via autonomous decisions
