year,age_group,edu_level,unemployment_value
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),3.8
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2019,All ages,Tertiary education (Levels 5-8),0.8
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),4.2
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.0
2019,All ages,Tertiary education (Levels 5-8),0.9
2019,All ages,Less than primary (Level 0),
2019,All ages,Primary and lower secondary education (Levels 1-2),2.8
2019,All ages,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,All ages,Tertiary education (Levels 5-8),0.7
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),5.8
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.3
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),8.3
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),2.7
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,15 - 24 years,Less than primary (Level 0),
2019,15 - 24 years,Primary and lower secondary education (Levels 1-2),
2019,15 - 24 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.9
2019,15 - 24 years,Tertiary education (Levels 5-8),
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),4.7
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.8
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),5.3
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.9
2019,25 - 54 years,Less than primary (Level 0),
2019,25 - 54 years,Primary and lower secondary education (Levels 1-2),3.0
2019,25 - 54 years,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),1.8
2019,25 - 54 years,Tertiary education (Levels 5-8),0.7
